,Year,Wind (% electricity),% Geo,Hydro (% equivalent primary energy),Solar (% electricity),% coches
0,1990.0,0.033880398,0.0271584805718762,4.8152823,0.00050570356,0.0
33,1990.25,0.0358844645,0.027231991934033677,4.87856385,0.0005248978125,0.0
34,1990.5,0.037888531,0.02730550329619115,4.9418454,0.000544092065,0.0
35,1990.75,0.0398925975,0.027379014658348626,5.00512695,0.0005632863175,0.0
1,1991.0,0.041896664,0.0274525260205061,5.0684085,0.00058248057,0.0
36,1991.25,0.047724938,0.027697551707416227,5.1458887,0.0006765919525,0.0
37,1991.5,0.053553212,0.027942577394326353,5.2233689000000005,0.0007707033349999999,0.0
38,1991.75,0.059381486000000004,0.028187603081236474,5.3008491,0.0008648147174999999,0.0
2,1992.0,0.06520976,0.0284326287681466,5.3783293,0.0009589261,0.0
39,1992.25,0.0713418075,0.028633860596868774,5.423187475,0.001027194225,0.0
40,1992.5,0.07747385500000001,0.02883509242559095,5.4680456500000005,0.00109546235,0.0
41,1992.75,0.0836059025,0.029036324254313125,5.512903825,0.001163730475,0.0
3,1993.0,0.08973795,0.0292375560830353,5.557762,0.0012319986,0.0
42,1993.25,0.095461276,0.029326551468570425,5.604253075,0.00124129775,0.0
43,1993.5,0.101184602,0.02941554685410555,5.6507441499999995,0.0012505969,0.0
44,1993.75,0.106907928,0.029504542239640674,5.697235225,0.00125989605,0.0
4,1994.0,0.112631254,0.0295935376251758,5.7437263,0.0012691952,0.0
45,1994.25,0.1204829455,0.029571467900666226,5.704822825,0.00135490115,0.0
46,1994.5,0.128334637,0.02954939817615665,5.665919349999999,0.0014406071,0.0
47,1994.75,0.13618632849999998,0.029527328451647072,5.627015875,0.0015263130499999999,0.0
5,1995.0,0.14403802,0.0295052587271375,5.5881124,0.001612019,0.0
48,1995.25,0.15156116249999999,0.02942806292495285,5.5402179,0.0016184701,0.0
49,1995.5,0.15908430499999998,0.0293508671227682,5.4923234,0.0016249212,0.0
50,1995.75,0.1666074475,0.02927367132058355,5.4444289,0.0016313723,0.0
6,1996.0,0.17413059,0.0291964755183989,5.3965344,0.0016378234,0.0
51,1996.25,0.1966454775,0.029314965497153175,5.440372675,0.00172603375,0.0
52,1996.5,0.21916036500000002,0.02943345547590745,5.48421095,0.0018142441,0.0
53,1996.75,0.24167525250000002,0.029551945454661725,5.528049225,0.00190245445,0.0
7,1997.0,0.26419014,0.029670435433416,5.5718875,0.0019906648,0.0
54,1997.25,0.29850324500000003,0.0296745417488061,5.6029656249999995,0.0020694458499999997,0.0
55,1997.5,0.33281635,0.0296786480641962,5.63404375,0.0021482269,0.0
56,1997.75,0.367129455,0.0296827543795863,5.6651218750000005,0.00222700795,0.0
8,1998.0,0.40144256,0.0296868606949764,5.6962,0.002305789,0.0
57,1998.25,0.43007769500000004,0.029774986065379073,5.693856075,0.002397826125,0.0
58,1998.5,0.45871283,0.02986311143578175,5.691512149999999,0.00248986325,0.0
59,1998.75,0.487347965,0.029951236806184424,5.6891682249999995,0.002581900375,0.0
9,1999.0,0.5159831,0.0300393621765871,5.6868243,0.0026739375,0.0
60,1999.25,0.589332125,0.03008296644673275,5.728273975,0.0030519002,0.0
61,1999.5,0.66268115,0.0301265707168784,5.7697236499999995,0.0034298629,0.0
62,1999.75,0.736030175,0.030170174987024047,5.811173325,0.0038078256,0.0
10,2000.0,0.8093792,0.0302137792571697,5.852623,0.0041857883,0.0
63,2000.25,0.8450011,0.0301210619836698,5.8924595,0.004895894225,0.0
64,2000.5,0.8806229999999999,0.0300283447101699,5.932296,0.00560600015,0.0
65,2000.75,0.9162449,0.029935627436669998,5.9721325,0.006316106075,0.0
11,2001.0,0.9518668,0.0298429101631701,6.011969,0.007026212,0.0
66,2001.25,1.035881175,0.03066589424958805,5.7748869,0.00774926175,0.0
67,2001.5,1.11989555,0.031488878336006,5.5378048,0.0084723115,0.0
68,2001.75,1.203909925,0.032311862422423954,5.3007227,0.00919536125,0.0
12,2002.0,1.2879243,0.0331348465088419,5.0636406,0.009918411,0.0
69,2002.25,1.352248225,0.03323743280310948,4.993284825,0.01100744575,0.0
70,2002.5,1.41657215,0.03334001909737705,4.9229290500000005,0.0120964805,0.0
71,2002.75,1.480896075,0.03344260539164462,4.852573275,0.01318551525,0.0
13,2003.0,1.54522,0.0335451916859122,4.7822175,0.01427455,0.0
72,2003.25,1.66013665,0.03278527046958017,4.830894625,0.016631342,0.0
73,2003.5,1.7750533,0.032025349253248146,4.87957175,0.018988134,0.0
74,2003.75,1.8899699499999998,0.03126542803691612,4.9282488749999995,0.021344926,0.0
14,2004.0,2.0048866,0.0305055068205841,4.976926,0.023701718,0.0
75,2004.25,2.094156075,0.030971173533991824,4.899127125,0.0303509995,0.0
76,2004.5,2.18342555,0.03143684024739955,4.82132825,0.037000281,0.0
77,2004.75,2.272695025,0.03190250696080728,4.743529375,0.0436495625,0.0
15,2005.0,2.3619645,0.032368173674215,4.6657305,0.050298844,0.0
78,2005.25,2.442026575,0.034004773671819775,4.663138875,0.058764103000000005,0.0
79,2005.5,2.5220886499999997,0.03564137366942455,4.66054725,0.067229362,0.0
80,2005.75,2.602150725,0.03727797366702933,4.657955625,0.075694621,0.0
16,2006.0,2.6822128,0.0389145736646341,4.655364,0.08415988,0.0
81,2006.25,2.8580060499999997,0.0394171339810116,4.65484125,0.09505271750000001,0.0
82,2006.5,3.0337993,0.0399196942973891,4.6543185000000005,0.105945555,0.0
83,2006.75,3.20959255,0.0404222546137666,4.6537957500000005,0.1168383925,0.0
17,2007.0,3.3853858,0.0409248149301441,4.653273,0.12773123,0.0
84,2007.25,3.4937863,0.04169740288684142,4.7189138250000005,0.1583688375,0.0
85,2007.5,3.6021868,0.04246999084353875,4.7845546500000005,0.18900644500000002,0.0
86,2007.75,3.7105873,0.043242578800236076,4.850195475,0.21964405250000002,0.0
18,2008.0,3.8189878,0.0440151667569334,4.9158363,0.25028166,0.0
87,2008.25,3.971077175,0.04528102491270685,4.99642215,0.3128156575,0.0
88,2008.5,4.12316655,0.0465468830684803,5.077007999999999,0.37534965500000006,0.0
89,2008.75,4.275255925,0.047812741224253746,5.15759385,0.43788365250000005,0.0
19,2009.0,4.4273453,0.0490785993800272,5.2381797,0.50041765,0.0
90,2009.25,4.505504975,0.0489351797889001,5.344028775,0.57226172,0.003000000026077025
91,2009.5,4.583664649999999,0.048791760197772996,5.44987785,0.64410579,0.00600000005215405
92,2009.75,4.6618243249999995,0.0486483406066459,5.555726925,0.71594986,0.009000000078231075
20,2010.0,4.739984,0.0485049210155188,5.661576,0.78779393,0.0120000001043081
93,2010.25,4.974727375,0.0497328620208625,5.4401261000000005,0.9968287225,0.024750000331550802
94,2010.5,5.2094707499999995,0.0509608030262062,5.2186762,1.2058635149999999,0.0375000005587935
95,2010.75,5.444214125,0.0521887440315499,4.9972262999999995,1.4148983075,0.050250000786036204
21,2011.0,5.6789575,0.0534166850368936,4.7757764,1.6239331,0.0630000010132789
96,2011.25,5.8718411249999996,0.05393071029231252,4.8735058,1.821296325,0.09475000016391273
97,2011.5,6.06472475,0.05444473554773145,4.9712352,2.0186595499999997,0.12649999931454656
98,2011.75,6.257608375,0.054958760803150375,5.068964599999999,2.216022775,0.1582499984651804
22,2012.0,6.450492,0.0554727860585693,5.166694,2.413386,0.1899999976158142
99,2012.25,6.6512812,0.05695617224725935,5.309870125,2.538573075,0.25999999791383743
100,2012.5,6.8520704,0.058439558435949404,5.45304625,2.66376015,0.32999999821186066
101,2012.75,7.0528596,0.05992294462463945,5.596222375,2.7889472250000003,0.3999999985098839
23,2013.0,7.2536488,0.0614063308133295,5.7393985,2.9141343,0.4699999988079071
102,2013.25,7.4060251,0.06293297440154948,5.7917252999999995,3.018433125,0.4924999997019768
103,2013.5,7.558401399999999,0.06445961798976946,5.8440521,3.1227319500000004,0.5150000005960464
104,2013.75,7.7107776999999995,0.06598626157798942,5.8963789,3.2270307750000002,0.5375000014901161
24,2014.0,7.863154,0.0675129051662094,5.9487057,3.3313296,0.5600000023841858
105,2014.25,8.187320249999999,0.06915221580998418,5.7819560999999995,3.3759696000000003,0.6950000077486038
106,2014.5,8.5114865,0.07079152645375895,5.615206499999999,3.4206096,0.8300000131130219
107,2014.75,8.835652750000001,0.07243083709753373,5.4484569,3.4652496,0.9650000184774399
25,2015.0,9.159819,0.0740701477413085,5.2817073,3.5098896,1.100000023841858
108,2015.25,9.17402625,0.0756526827238555,5.294452225,3.5049952,1.070000022649765
109,2015.5,9.188233499999999,0.0772352177064025,5.30719715,3.5001008000000002,1.0400000214576721
110,2015.75,9.20244075,0.0788177526889495,5.319942075,3.4952064,1.0100000202655792
26,2016.0,9.216648,0.0804002876714965,5.332687,3.490312,0.9800000190734864
111,2016.25,9.58054375,0.08269866777925795,5.114971,3.5398631,1.0600000023841858
112,2016.5,9.9444395,0.0849970478870194,4.8972549999999995,3.5894142,1.1399999856948853
113,2016.75,10.308335249999999,0.08729542799478085,4.679539,3.6389653,1.2199999690055847
27,2017.0,10.672231,0.0895938081025423,4.461823,3.6885164,1.2999999523162842
114,2017.25,10.7571655,0.0920923642878469,4.64580475,3.736970925,1.4499999582767487
115,2017.5,10.8421,0.0945909204731515,4.8297865,3.78542545,1.5999999642372131
116,2017.75,10.927034500000001,0.0970894766584561,5.01376825,3.833879975,1.7499999701976776
28,2018.0,11.011969,0.0995880328437607,5.19775,3.8823345,1.899999976158142
117,2018.25,11.44933475,0.10194788652765627,5.11902625,3.9882381249999996,2.1749999821186066
118,2018.5,11.8867005,0.10430774021155184,5.0403025,4.09414175,2.449999988079071
119,2018.75,12.32406625,0.10666759389544743,4.96157875,4.200045375,2.7249999940395355
29,2019.0,12.761432,0.109027447579343,4.882855,4.305949,3.0
120,2019.25,13.17641325,0.11138574280247546,5.0838225,4.545953,4.75
121,2019.5,13.5913945,0.1137440380256079,5.28479,4.785957,6.5
122,2019.75,14.00637575,0.11610233324874035,5.4857575,5.025961,8.25
30,2020.0,14.421357,0.1184606284718728,5.686725,5.265965,10.0
123,2020.25,14.1703525,0.11718010593620305,5.6141000000000005,5.370371125,12.0
124,2020.5,13.919348,0.1158995834005333,5.541475,5.47477725,14.0
125,2020.75,13.6683435,0.11461906086486355,5.46885,5.5791833749999995,16.0
31,2021.0,13.417339,0.1133385383291938,5.396225,5.6835895,18.0
126,2021.25,13.815549,0.11420397669608383,5.34716875,6.07953575,18.75
127,2021.5,14.213759,0.11506941506297386,5.2981125,6.4754819999999995,19.5
128,2021.75,14.611969,0.11593485342986387,5.249056250000001,6.87142825,20.25
32,2022.0,15.010179,0.1168002917967539,5.2,7.2673745,21.0
129,2022.25,15.010179,0.1168002917967539,5.2,7.2673745,21.0
130,2022.5,15.010179,0.1168002917967539,5.2,7.2673745,21.0
131,2022.75,15.010179,0.1168002917967539,5.2,7.2673745,21.0
